State,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
ANDAMAN & NICOBAR,0,1647,8352,9,904,9086,1,1489,8509,39,891,9068,2,1442,8555,8892,1106,675,9324,9998,1,9259,740,9764,234,9821,178,9921,78
ANDHRA PRADESH,8025,111340,329364,226932,156149,65827,257654,143128,47566,76633,111257,260385,26722,3599,416953,416246,31576,386446,62680,315017,132090,274211,171641,422256,25564,330537,118696,391651,55443
ARUNACHAL PRADESH,13837,74261,11790,21662,64955,10941,14192,64508,19836,34753,47288,17717,134,50669,48617,96162,2937,76501,23131,87398,12037,87408,8763,93525,4750,65508,19751,82916,16530
ASSAM,423528,567775,20266,604940,273583,133040,89615,506982,414778,511543,182438,317588,4,419377,592188,1010212,1349,932036,79525,1004577,6984,765055,246500,938921,72637,178549,833018,884552,127011
BIHAR,4599,181854,312999,377592,101458,20385,102964,363643,32783,67669,264082,167602,5410,17347,477104,493985,5507,389004,110420,467049,31862,382926,115901,491515,7384,298339,201045,475699,22708
CHHATTISGARH,315,40516,135056,15487,118956,41532,79754,89019,7286,20695,64191,90848,448,20830,154189,174901,709,114135,61957,159319,16856,90720,85405,170540,5133,137691,38406,173109,3081
DELHI,2,2,54,34,4,18,10,19,26,29,9,18,7,21,33,32,26,5,45,14,38,32,18,35,16,35,17,19,32
GOA,1787,4768,2729,2128,1492,4620,3042,3287,2875,7143,596,1533,2,5605,3618,8504,750,2595,4968,9037,323,5961,3304,8981,369,4676,3068,8597,741
GUJARAT,1344,110348,508518,390818,164608,64822,369867,217376,33080,191934,221108,207074,11327,2211,606123,523985,95951,463556,156807,418080,202355,371605,248791,576636,43805,296884,323497,570865,49618
HARYANA,0,30,3048,320637,191696,59245,175587,250771,145218,31941,106086,433530,22146,191,549232,520436,51131,541347,30230,388143,183368,431065,140231,524496,45496,2105,972,448281,123281
HIMACHAL PRADESH,855,29833,37274,20970,43696,9494,30026,36029,8117,54010,14262,5671,57,714,72601,67781,366,24437,581,56431,1593,53928,2411,56956,770,19337,58,51557,6456
JAMMU & KASHMIR,13918,49644,19939,41924,39016,2675,19553,58545,5563,49284,21848,12231,900,1943,79747,78980,3935,70613,10629,51781,28052,62073,17605,74287,4145,38856,8778,66431,13392
JHARKHAND,1275,129885,103517,58643,150618,25448,19099,185704,30064,38196,116568,79584,516,88874,144005,232630,1387,186649,48200,223605,6642,192345,37716,225635,4018,146139,82099,220199,8936
KARNATAKA,23979,158009,292402,272571,166439,35387,190687,221839,61873,106045,154947,213382,14667,29456,430270,433941,40403,326232,148168,228433,245959,202403,271963,446951,27400,220278,254090,405218,69162
KERALA,2,53,5279,76284,17213,9734,30126,43211,29948,66563,18662,17888,94,33641,69292,102054,927,53923,49284,100988,2301,97301,5899,103078,601,54715,48271,99040,4277
LADAKH,0,0,0,65,126,109,133,91,76,177,55,68,8,0,292,292,8,0,0,161,139,166,133,164,135,0,0,113,187
MADHYA PRADESH,6426,345724,746079,282948,716151,106085,436977,631219,42408,329444,432667,343904,6724,16270,1079738,1037563,68792,878801,202268,879061,234104,611517,497829,1042864,70359,804523,271391,1023523,93165
MAHARASHTRA,4672,56603,426914,118484,259750,110241,323018,145098,20476,91058,126099,270856,10238,13420,463786,485293,2491,219220,269393,199020,289452,235606,252793,468128,20104,272656,215807,427426,61068
MANIPUR,0,25,311,22,290,13,1,24,312,5,299,30,44,78,164,109,223,318,14,328,5,321,6,294,0,290,0,290,1
MEGHALAYA,279,13163,11525,4169,9157,11648,4223,16463,4297,20602,3267,1072,7,13740,11166,24913,15,13764,10716,21707,3288,16808,8184,22753,2215,10482,13995,21559,3438
MIZORAM,42,3487,26142,2840,22932,3927,3617,12084,14000,25353,2457,1773,3,15884,13469,2633,2714,661,137,721,63,736,51,780,1,643,142,715,69
NAGALAND,15103,61923,33607,29297,46185,35151,22141,60334,28156,70633,23374,16615,53,82822,27734,108394,2220,63043,47588,80753,29840,90286,20083,95476,12011,98720,11909,81337,29099
ODISHA,11478,142961,344294,149401,220370,128978,106614,306564,85574,76733,174827,247145,506,149111,349128,493743,4011,318331,180417,431136,67583,281791,216821,444568,54062,211551,287037,434227,64509
PUDUCHERRY,0,0,3000,1978,873,149,861,1367,772,497,320,183,110,63,2827,2611,388,0,0,2958,42,2614,386,2948,52,0,0,2987,13
PUNJAB,5,885,10682,22805,25554,29566,12168,20502,44635,16071,44123,41327,8666,1113,92104,95020,6841,69377,7945,62948,14758,70307,7224,76176,1425,4788,24315,38788,38895
RAJASTHAN,54,118,18508,235458,92021,13173,175325,154513,9856,11205,46419,282883,40978,104,298933,317904,22459,203137,15826,172152,168825,150011,190630,328928,11149,1963,106,324469,16566
SIKKIM,2073,38550,19077,43380,15308,1086,18201,37083,4556,35510,15250,8795,56,26849,31770,58186,1060,55228,4663,56647,3305,58157,1769,59392,520,50303,9611,46201,13764
TAMIL NADU,196,2153,399594,144017,173204,84851,183458,173803,44940,10677,38528,352360,17689,9274,373592,392975,8262,255860,146362,246707,155654,234877,167279,389699,11517,216563,185598,287554,114861
TELANGANA,3226,23148,112653,123515,11994,3519,67466,51915,19652,19867,38277,79882,6943,1888,131420,138228,2052,112766,25021,47342,46280,51820,41815,77751,15868,79913,45836,70302,23344
TRIPURA,19,15557,20994,6913,29500,200,40,34009,2579,12359,10786,13365,17,29702,6452,36117,284,34956,1684,31518,5132,23253,13389,35870,682,29712,6921,36381,268
UTTAR PRADESH,1074,15346,809531,126336,509498,190095,88023,662018,75908,11953,97433,716634,10938,771,812379,814639,10721,546179,279751,627631,198286,555255,270595,785897,36628,567049,258787,758642,67295
UTTARAKHAND,158,5653,64681,40254,43534,17071,26376,54267,20240,56124,25488,19178,99,3527,96858,92780,7891,77276,23620,87317,13512,86298,14305,96362,4307,78702,22103,84966,15662
WEST BENGAL,7159,214944,177730,291552,82182,26212,133136,213324,53545,134895,165342,99377,331,113243,285201,376750,22464,249469,150566,394395,5684,298903,101144,391812,8148,148690,251322,355204,44901
